Sample_name,ID,Pre/Post_hormone,Year,Month,Day,Sex,Est_Birth_Year,Death_Year,Name,,notes
SRR27755173,J17,,2018,6,11,Undetermined,,,,,2018JUN11-05A_S67
SRR27755172,J17,,2018,6,11,Undetermined,,,,,2018JUN11-05B_S7
SRR27755171,J17,,2018,6,11,Undetermined,,,,,2018JUN11-07_S16
SRR27755170,J17,,2018,6,11,Undetermined,,,,,2018JUN11-08_S25
SRR27755168,J49,,2018,6,11,Undetermined,,,,,2018JUN11-10_S34
SRR27755167,J49,,2018,6,11,Undetermined,,,,,2018JUN11-11A_S43
SRR27755166,J49,,2018,6,11,Undetermined,,,,,2018JUN11-11B_S52
SRR27755165,L87,,2018,6,11,Undetermined,,,,,2018JUN11-13A_S60
SRR27755164,L87,,2018,6,11,Undetermined,,,,,2018JUN11-13B_S68
SRR27755163,unknown,,2018,6,14,Undetermined,,,,,2018JUN14-05_S8
SRR27755162,J46,,2018,6,14,Undetermined,,,,,2018JUN14-08_S17
SRR27755161,J36,,2018,6,14,Undetermined,,,,,2018JUN14-10_S26
SRR27755160,J40,,2018,6,15,Undetermined,,,,,2018JUN15-02_S35
SRR27755097,K33,,2015,1,15,Male,,,,,30-Jan-15_S20
SRR27755021,K33,,2015,1,30,Male,,,,,30-Jan-2015-2_S34
SRR27755020,K33,,2015,1,30,Male,,,,,30-Jan-2015-3_S40
SRR27755083,L41,,2017,9,13,Male,,,,,52196-126_S82
SRR27755242,L22,,2017,9,13,Female,,,,,52196-128_S7
SRR27755090,L22,,2017,9,13,Female,,,,,52196-129_S17
SRR27755004,52196-130,,2017,9,13,Male,,,,,52196-130_S29
SRR27755007,52196-131,,2017,9,13,Male,,,,,52196-131_S40
SRR27755245,J42,,2017,9,24,Female,,,,,52196-138_S51
SRR27755246,J42,,2017,9,24,Female,,,,,52196-140_S62
SRR27755272,J19,,2017,9,24,fail,,,,,52196-142_S72
SRR27755019,J45,,2017,9,24,Male,,,,,52196-143_S83
SRR27755002,L87,,2017,9,24,Male,,,,,52196-144_S8
SRR27754991,J19,,2017,9,24,Female,,,,,52196-145_S18
SRR27754989,J19,,2017,9,24,Female,,,,,52196-145rep_S74
SRR27755006,L55,,2017,9,10,Female,,,,,52196-148_S30
SRR27755005,L55,,2017,9,10,Female,,,,,52196-148rep_S85
SRR27755095,L89,,2017,9,11,Male,,,,,52196-150_S41
SRR27755084,NA,,2017,9,11,Female,,,,,52196-151_S52
SRR27755086,L85,,2017,9,11,Male,,,,,52196-152_S63
SRR27755082,L85,,2017,9,11,Male,,,,,52196-153_S73
SRR27755089,L92,,2017,9,19,Male,,,,,52196-155_S84
SRR27755243,J35,,2017,9,19,Female,,,,,52196-156_S9
SRR27755081,J35,,2017,9,19,Female,,,,,52196-157_S19
SRR27755014,L25,,2017,9,19,Female,,,,,52196-158_S31
SRR27755003,fail,,2017,9,21,fail,,,,,52196-161_S42
SRR27754999,L113,,2017,9,22,Female,,,,,52196-162_S53
SRR27754998,L113,,2017,9,22,fail,,,,,52196-163_S1
SRR27754997,L113,,2017,9,22,fail,,,,,52196-163b_S64
SRR27754996,L113,,2017,9,22,fail,,,,,52196-163rep_S11
SRR27755047,L86,,2017,9,23,Female,,,,,52196-170_S22
SRR27755013,J42,,2017,9,23,Female,,,,,52196-173_S23
SRR27755012,J42,,2017,9,23,Female,,,,,52196-174_S34
SRR27755096,NA,,2017,9,23,Male,,,,,52196-175_S45
SRR27755094,L47,,2017,9,23,Female,,,,,52196-176_S56
SRR27755085,L47,,2017,9,23,Female,,,,,52196-177_S66
SRR27755016,L86,,2017,9,23,Female,,,,,52196-178_S77
SRR27755274,NA,,2017,9,24,Male,,,,,52196-183_S2
SRR27755273,NA,,2017,9,24,Male,,,,,52196-183rep_S21
SRR27755271,J19,,2017,9,24,Female,,,,,52196-185_S12
SRR27755087,L86,,2017,9,26,Female,,,,,52196-188_S24
SRR27755091,L86,,2017,9,26,fail,,,,,52196-189_S35
SRR27755093,L86,,2017,9,26,Female,,,,,52196-190_S46
SRR27755092,L86,,2017,9,26,Female,,,,,52196-190rep_S33
SRR27755010,L115,,2018,6,12,fail,,,,,52196-198_S57
SRR27755008,L115,,2018,6,12,fail,,,,,52196-198repB_S76
SRR27755009,L115,,2018,6,12,fail,,,,,52196-198rep_S44
SRR27755000,J53,,2018,9,23,fail,,,,,52196-202_S67
SRR27755017,J49,,2018,9,25,Male,,,,,52196-204_S78
SRR27755088,J49,,2018,9,25,Male,,,,,52196-205_S3
SRR27755018,J16,,2018,9,13,Female,,,,,52196-206_S13
SRR27755111,J16,,2018,9,13,Female,,,,,52196-206repB_S87
SRR27755112,J16,,2018,9,13,Female,,,,,52196-206rep_S55
SRR27755011,NA,,2018,9,12,Female,,,,,52196-207_S25
SRR27755158,52389-5,,2020,11,29,Male,,,,,52389-10_S8
SRR27755169,J44,,2019,11,12,Male,,,,,52389-11_S9
SRR27755248,J49,,2020,9,1,Male,,,,,52389-15_S10
SRR27755147,fail,,2020,9,11,Undetermined,,,,,52389-16_S11
SRR27755001,J49,,2019,11,13,Male,,,,,52389-1_S3
SRR27755244,J44,,2019,11,24,Male,,,,,52389-20_S14
SRR27755249,J42,,2019,12,18,Male,,,,,52389-28_S16
SRR27755254,52389-29,,2019,12,18,Male,,,,,52389-29_S17
SRR27755125,J44,,2019,11,24,Male,,,,,52389-30_S76
SRR27755130,J44,,2019,11,12,Male,,,,,52389-3_S4
SRR27755190,J49,,2019,11,12,Male,,,,,52389-4_S5
SRR27755230,52389-5,,2020,11,29,Male,,,,,52389-5_S6
SRR27755213,J46,,2019,11,12,Female,,,,,52389-6_S7
SRR27755156,L106,,2021,9,12,Male,,,,,52390-19_S21
SRR27755155,L106,,2021,9,12,Male,,,,,52390-20_S22
SRR27755154,L115,,2021,9,11,Male,,,,,52390-24_S23
SRR27755152,52389-29,,2021,9,11,Male,,,,,52390-25-dup_S33
SRR27755153,52389-29,,2021,9,11,Male,,,,,52390-25_S24
SRR27755151,L106,,2021,9,12,Male,,,,,52390-26_S25
SRR27755149,J16,,2021,9,12,Female,,,,,52390-27-dup_S34
SRR27755150,J16,,2021,9,12,Female,,,,,52390-27_S26
SRR27755251,J26,,2021,9,15,Male,,,,,52390-28_S27
SRR27755109,L115,,2021,9,21,Male,,,,,52390-32_S28
SRR27755250,52390-34,,2021,10,22,Female,,,,,52390-35_S29
SRR27755269,52390-36,,2021,10,22,Male,,,,,52390-36_S30
SRR27755268,L115,,2021,10,18,Male,,,,,52390-39_S31
SRR27755267,52389-29,,2021,10,18,Male,,,,,52390-40_S32
SRR27755107,L54,,2015,4,3,Female,,,,,CRC2015APR09-03-2_S36
SRR27755106,L54,,2015,4,3,Female,,,,,CRC2015APR09-03-3_S42
SRR27755108,L54,,2015,4,3,Female,,,,,CRC2015APR09-03_S22
SRR27755105,NA,,2015,3,3,NA,,,,,CRC2015MAR0306-01-reex_S29
SRR27755103,L54,,2015,3,6,Female,,,,,CRC2015MAR06-06-2_S35
SRR27755102,L54,,2015,3,6,Female,,,,,CRC2015MAR06-06-3_S41
SRR27755104,L54,,2015,3,6,Female,,,,,CRC2015MAR06-06_S21
SRR27755101,J27,,2018,8,18,Undetermined,,,,,F18Aug18-01_S44
SRR27755100,J27,,2018,8,18,Undetermined,,,,,F18Aug18-02_S53
SRR27755196,unknown,,2017,11,6,Undetermined,,,,,MS2017Nov06-04_S63
SRR27755180,unknown,,2017,11,6,Undetermined,,,,,MS2017Nov06-05_S3
SRR27755080,K42,,2017,11,8,Undetermined,,,,,MS2017Nov08-01_S12
SRR27755075,K42,,2017,11,8,Undetermined,,,,,MS2017Nov08-02_S21
SRR27755070,K16,,2017,11,22,Undetermined,,,,,MS2017Nov22-01_S30
